"artifact_type","baseline_basename","owner_core","gap_class","priority","required_dependency","target_output_rel_dir","target_contract_status","next_skill_step"
"table","Enhanced_ER_analysis_summary.csv","core4_exposure_response_exploration;core5_statistical_modeling","results_compatible_multi_endpoint_logistic_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; expand full endpoint x exposure question matrix; export AZ Results-compatible enhanced ER summary."
"table","Final_Logistic_Regression_Complete_Results.csv","core4_exposure_response_exploration;core5_statistical_modeling","results_compatible_multi_endpoint_logistic_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; expand full endpoint x exposure question matrix; export complete logistic regression Results table."
"table","Final_Logistic_Regression_Detailed_Summary.csv","core4_exposure_response_exploration;core5_statistical_modeling","results_compatible_multi_endpoint_logistic_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; expand full endpoint x exposure question matrix; export detailed logistic regression Results table."
"table","Final_Logistic_Regression_P_Values_Summary.csv","core4_exposure_response_exploration;core5_statistical_modeling","results_compatible_multi_endpoint_logistic_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; expand full endpoint x exposure question matrix; export p-value summary Results table."
"table","Cox_PH_models_PFS_OS_summary.csv","core5_statistical_modeling","results_compatible_cox_tte_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire PFS/OS TTE model specs and Cox export schema."
"table","ILD_Cox_regression_results.csv","core5_statistical_modeling","results_compatible_cox_tte_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire ILD TTE model specs and Cox export schema."
"table","ILD_KM_analysis_summary.csv","core5_statistical_modeling","results_compatible_km_tte_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire ILD KM strata and export schema."
"table","KM_analysis_summary_by_dose_stratification.csv","core5_statistical_modeling","results_compatible_km_tte_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire KM by-dose strata and export schema."
"table","KM_analysis_summary_Cave0_and_AUC1_twotiles_with_DoR.csv","core5_statistical_modeling","results_compatible_km_tte_export","high","model_posthoc_sdtab1062","Results/tables","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire KM exposure twotile and DoR strata and export schema."
"figure","ER_AUC1_ADJU_ILD_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_AE_grade3_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_AE_ILD_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_AE_ocular_2_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_AE_ocular_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_AE_stomatitis_2_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_AE_stomatitis_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUC1_Res1_efficacy.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER efficacy pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_ADJU_ILD_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_AE_grade3_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_AE_ILD_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_AE_ocular_2_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
