"field","value"
"current_validated_case","42"
"current_validated_run_label","case42_r006_ild_decision_20260619_0000"
"current_validated_status","validated"
"current_validated_summary","Case42 validated the R006 ILD decision gate. Codex applied the gated R006 runtime patch and verified mock01 scaffold comparison in pipeline_scaffold_case42_r006_patch5_20260619_0024: 9/9 reference tables matched, 48/48 figures matched by same-name inventory, and 6/6 Core2 reference figures matched contract."
"next_case","43"
"next_run_label",""
"next_manifest",""
"next_status","needs_case43_prompt"
"next_summary","Prepare a ClaudeCode verification case for the already-applied R006 runtime patch, or run full agent_behavior regression before claiming broader bundle readiness."
"next_command","Rscript evals/agent_behavior/run_agent_behavior_regression.R"
"boundary","Mock01 table parity is validated by scaffold comparison; figure content remains inventory/contract-level rather than pixel or plot-data parity, and bundle readiness still requires full regression."
